time,open,high,low,close,Volume
2016-06-27T09:15:00+05:30,295.1,300.9,295.1,297.6,2434000
2016-06-27T13:15:00+05:30,297.5,297.75,295.2,296,816000
2016-06-28T09:15:00+05:30,299.3,300.85,297.8,299.25,3418000
2016-06-28T13:15:00+05:30,298.95,299.65,296.2,297.45,1468000
2016-06-29T09:15:00+05:30,299.35,303.35,297.7,301.35,4184000
2016-06-29T13:15:00+05:30,301.25,302.65,299.1,302.65,1372000
2016-06-30T09:15:00+05:30,304.6,312.25,303.8,309.4,4818000
2016-06-30T13:15:00+05:30,309.2,312.85,308.7,312.8,2168000
2016-07-01T09:15:00+05:30,313.9,315.9,312.45,312.5,2472000
2016-07-01T13:15:00+05:30,312.45,313.3,309,310,1214000
2016-07-04T09:15:00+05:30,315.25,317,313.05,313.7,2888000
2016-07-04T13:15:00+05:30,313.6,314.25,312.1,313.85,1090000
2016-07-05T09:15:00+05:30,313.5,313.5,307.4,310.3,1984000
2016-07-05T13:15:00+05:30,310.3,310.3,307.55,307.75,672000
2016-07-07T09:15:00+05:30,307.8,307.8,300.35,301.45,2748000
2016-07-07T13:15:00+05:30,301.45,303,300,300.6,1032000
2016-07-08T09:15:00+05:30,300.4,302,295.35,298.95,1714000
2016-07-08T13:15:00+05:30,299.1,299.25,297.55,298.45,648000
2016-07-11T09:15:00+05:30,301.95,303.55,298.95,300.7,2212000
2016-07-11T13:15:00+05:30,300.5,300.85,299.1,299.5,910000
2016-07-12T09:15:00+05:30,300.95,305.6,300.8,303.6,2184000
2016-07-12T13:15:00+05:30,303.6,307.6,302.1,306.8,1480000
2016-07-13T09:15:00+05:30,309.6,311.9,307.05,309.95,3438000
2016-07-13T13:15:00+05:30,310,311.3,306.25,306.9,1582000
2016-07-14T09:15:00+05:30,304.15,305.75,302,304.85,1940000
2016-07-14T13:15:00+05:30,305,305.9,303,303,1144000
2016-07-15T09:15:00+05:30,304.6,310.2,302.05,309.15,2848000
2016-07-15T13:15:00+05:30,309,309,306.35,307.5,1016000
2016-07-18T09:15:00+05:30,308.4,311,305,307.5,2016000
2016-07-18T13:15:00+05:30,307.6,308,301.25,302.8,1448000
2016-07-19T09:15:00+05:30,302.25,302.65,297.4,301,1574000
2016-07-19T13:15:00+05:30,300.7,302.8,300.1,302.4,606000
2016-07-20T09:15:00+05:30,303.55,305.4,301.1,302.55,1764000
2016-07-20T13:15:00+05:30,302.45,303.55,302.35,302.65,550000
2016-07-21T09:15:00+05:30,303.95,305.55,301.55,304.1,1918000
